name,description,homepage_url,project,repo_url,logo,twitter,crunchbase,chat_channel,accepted,dev_stats_url,artwork_url,stack_overflow_url,blog_url,mailing_list_url,slack_url,gitter_url,youtube_url
containerd,An open and reliable container runtime,https://containerd.io/,graduated,https://github.com/containerd/containerd,containerd.svg,https://twitter.com/containerd,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2017-03-29,https://containerd.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#containerd-logos,https://stackoverflow.com/questions/tagged/containerd,,,https://slack.containerd.io/,,
CoreDNS,CoreDNS is a DNS server that chains plugins,https://coredns.io/,graduated,https://github.com/coredns/coredns,core-dns.svg,https://twitter.com/corednsio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2017-02-27,https://coredns.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#coredns-logos,https://stackoverflow.com/questions/tagged/coredns,https://blog.coredns.io/,https://groups.google.com/forum/#!forum/coredns-discuss,https://cloud-native.slack.com/messages/coredns/,,https://www.youtube.com/channel/UCbWRJZxiaQ8twm6sh7UymoQ
Envoy,Cloud-native high-performance edge/middle/service proxy,https://www.envoyproxy.io,graduated,https://github.com/envoyproxy/envoy,envoy.svg,https://twitter.com/envoyproxy,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2017-09-13,https://envoy.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#envoy-logos,https://stackoverflow.com/questions/tagged/envoyproxy,,,https://envoyproxy.slack.com/,,
etcd,Distributed reliable key-value store for the most critical data of a distributed system,https://etcd.io/,graduated,https://github.com/etcd-io/etcd,etcd.svg,https://twitter.com/etcdio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2018-12-11,https://etcd.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/incubating.md#etcd-logos,https://stackoverflow.com/questions/tagged/etcd,,https://groups.google.com/forum/?hl=en#!forum/etcd-dev,,,
Fluentd,Fluentd: Unified Logging Layer (project under CNCF),https://www.fluentd.org/,graduated,https://github.com/fluent/fluentd,fluentd.svg,https://twitter.com/fluentd,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2016-11-08,https://fluentd.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#fluentd-logos,https://stackoverflow.com/questions/tagged/fluentd,http://www.fluentd.org/blog/,,http://slack.fluentd.org/,,
Harbor,"An open source trusted cloud native registry project that stores, signs, and scans content.",https://goharbor.io/,graduated,https://github.com/goharbor/harbor,harbor.svg,https://twitter.com/project_harbor,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2018-07-31,https://harbor.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/incubating.md#harbor-logos,https://stackoverflow.com/questions/tagged/harbor,,https://lists.cncf.io/g/harbor-users/topics,https://cloud-native.slack.com/messages/harbor/,,
Helm,The Kubernetes Package Manager,https://helm.sh/,graduated,https://github.com/helm/helm,helm.svg,https://twitter.com/helmpack,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2016-01-18,https://helm.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/incubating.md#helm-logos,https://stackoverflow.com/questions/tagged/helm,,,,,
Jaeger,"CNCF Jaeger, a Distributed Tracing Platform",https://www.jaegertracing.io/,graduated,https://github.com/jaegertracing/jaeger,jaeger.svg,https://twitter.com/JaegerTracing,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2017-09-13,https://jaeger.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/incubating.md#jaeger-logos,https://stackoverflow.com/questions/tagged/jaeger,https://medium.com/jaegertracing/,https://groups.google.com/forum/#!forum/jaeger-tracing,,https://gitter.im/jaegertracing/Lobby,
Kubernetes,"Kubernetes is an open-source system for automating deployment, scaling, and management of containerized applications",https://kubernetes.io/,graduated,https://github.com/kubernetes/kubernetes,kubernetes.svg,https://twitter.com/kubernetesio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2016-03-16,https://k8s.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/graduated.md#kubernetes-logos,https://stackoverflow.com/questions/tagged/kubernetes,http://blog.kubernetes.io/,https://groups.google.com/forum/#!forum/kubernetes-dev,http://slack.k8s.io/,,https://www.youtube.com/channel/UCZ2bu0qutTOM0tHYa_jkIwg
Linkerd,"Ultralight, security-first service mesh for Kubernetes. Main repo for Linkerd 2.x.",https://linkerd.io/,graduated,https://github.com/linkerd/linkerd2,linkerd.svg,https://twitter.com/linkerd,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2017-01-23,https://linkerd.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/incubating.md#linkerd-logos,https://stackoverflow.com/questions/tagged/linkerd,https://blog.linkerd.io/,,https://slack.linkerd.io/,,https://www.youtube.com/watch?v=wBgBwNZo_EE&list=PLI9FkLPXDscDB0gevkhEnyfgIfWF5yk4V
